feature,score
fLast,0.103563
f674,0.045957
f670,0.026086
f221,0.018905
f677,0.015173
f279,0.013684
f46,0.012364
f352,0.011776
f275,0.011493
f668,0.011425
f278,0.011142
f332,0.010352
f281,0.010333
f471,0.010280
f67,0.010056
f676,0.009988
f181,0.009608
f662,0.009561
f272,0.009121
f765,0.008828
f596,0.008746
f630,0.008615
f19,0.008300
f276,0.008245
f15,0.007586
f410,0.007581
f398,0.007028
f421,0.006995
f499,0.006949
f269,0.006721
f43,0.006709
f212,0.006591
f598,0.006573
f59,0.006113
f238,0.006072
f333,0.005877
f273,0.005728
f280,0.005721
f211,0.005692
f201,0.005618
f135,0.005610
f361,0.005606
f727,0.005560
f32,0.005556
f251,0.005541
f599,0.005521
f667,0.005506
f574,0.005479
f71,0.005419
f18,0.005408
f745,0.005110
f314,0.005083
f139,0.004954
f142,0.004940
f643,0.004906
f64,0.004901
f388,0.004836
f629,0.004741
f228,0.004731
f402,0.004727
f91,0.004723
f774,0.004704
f261,0.004658
f675,0.004601
f673,0.004524
f559,0.004445
f16,0.004431
f10,0.004407
f373,0.004322
f60,0.004287
f528,0.004251
f510,0.004210
f289,0.004198
f21,0.004080
f580,0.003997
f377,0.003954
f132,0.003910
f404,0.003908
f131,0.003856
f527,0.003822
f378,0.003813
f653,0.003812
f334,0.003802
f350,0.003776
f41,0.003690
f514,0.003675
f351,0.003668
f405,0.003637
f415,0.003589
f365,0.003437
f288,0.003425
f597,0.003417
f270,0.003414
f433,0.003409
f382,0.003393
f3,0.003376
f735,0.003307
f76,0.003284
f634,0.003283
f51,0.002991
f435,0.002940
f412,0.002930
f68,0.002718
f223,0.002711
f130,0.002710
f542,0.002700
f618,0.002662
f259,0.002639
f13,0.002618
f65,0.002592
f637,0.002559
f50,0.002514
f715,0.002495
f190,0.002485
f551,0.002478
f464,0.002463
f133,0.002442
f253,0.002438
f22,0.002384
f739,0.002221
f25,0.002205
f538,0.002179
f509,0.002160
f229,0.002160
f84,0.002139
f260,0.002122
f357,0.002103
f652,0.002095
f274,0.002095
f406,0.002035
f614,0.002027
f335,0.002024
f755,0.002011
f665,0.002002
f208,0.001997
f632,0.001964
f26,0.001951
f369,0.001943
f53,0.001939
f768,0.001937
f45,0.001934
f766,0.001914
f271,0.001904
f738,0.001843
f470,0.001827
f40,0.001821
f529,0.001807
f344,0.001783
f396,0.001769
f17,0.001756
f189,0.001747
f339,0.001742
f224,0.001735
f230,0.001728
f642,0.001703
f558,0.001674
f286,0.001652
f134,0.001635
f214,0.001629
f202,0.001625
f122,0.001564
f524,0.001559
f767,0.001512
f322,0.001502
f146,0.001497
f258,0.001495
f63,0.001491
f570,0.001489
f664,0.001479
f671,0.001473
f686,0.001467
f530,0.001424
f619,0.001417
f746,0.001363
f56,0.001348
f24,0.001318
f654,0.001317
f308,0.001314
f213,0.001306
f655,0.001287
f737,0.001283
f7,0.001263
f772,0.001251
f85,0.001224
f193,0.001183
f75,0.001173
f324,0.001170
f283,0.001162
f640,0.001132
f743,0.001124
f383,0.001120
f342,0.001112
f545,0.001107
f368,0.001098
f444,0.001088
f641,0.001070
f348,0.001067
f217,0.001046
f359,0.001031
f518,0.001026
f491,0.001021
f648,0.001017
f27,0.001009
f756,0.001002
f589,0.000981
f672,0.000974
f516,0.000971
f341,0.000968
f204,0.000935
f143,0.000927
f611,0.000889
f434,0.000877
f628,0.000876
f479,0.000873
f535,0.000868
f277,0.000842
f442,0.000824
f124,0.000810
f159,0.000810
f39,0.000803
f468,0.000777
f8,0.000771
f263,0.000770
f600,0.000767
f659,0.000760
f540,0.000757
f458,0.000751
f188,0.000747
f144,0.000734
f663,0.000731
f511,0.000729
f747,0.000714
f613,0.000697
f386,0.000687
f282,0.000665
f120,0.000641
f400,0.000634
f533,0.000624
f752,0.000623
f441,0.000613
f416,0.000612
f184,0.000609
f531,0.000609
f682,0.000594
f579,0.000592
f376,0.000589
f200,0.000588
f395,0.000556
f385,0.000526
f424,0.000519
f233,0.000512
f149,0.000502
f543,0.000494
f194,0.000490
f450,0.000479
f55,0.000478
f298,0.000477
f380,0.000458
f639,0.000455
f431,0.000445
f353,0.000442
f268,0.000434
f432,0.000421
f638,0.000413
f454,0.000410
f569,0.000404
f79,0.000396
f23,0.000395
f31,0.000381
f199,0.000375
f343,0.000366
f360,0.000334
f609,0.000329
f49,0.000326
f121,0.000295
f145,0.000292
f669,0.000282
f443,0.000280
f501,0.000273
f287,0.000271
f397,0.000256
f148,0.000237
f680,0.000232
f399,0.000230
f775,0.000227
f14,0.000226
f203,0.000216
f513,0.000211
f28,0.000209
f428,0.000208
f658,0.000203
f547,0.000199
f30,0.000189
f601,0.000177
f240,0.000150
f340,0.000145
f90,0.000117
f520,0.000101
f161,0.000100
f539,0.000052
